"GEO_ID","NAME","B02011_001E","B02011_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US01085","ZCTA5 01085","1297","437"
"8600000US01086","ZCTA5 01086","0","12"
"8600000US01088","ZCTA5 01088","0","12"
"8600000US01089","ZCTA5 01089","1603","518"
"8600000US01092","ZCTA5 01092","0","12"
"8600000US01093","ZCTA5 01093","0","12"
"8600000US01094","ZCTA5 01094","0","12"
"8600000US01095","ZCTA5 01095","365","227"
"8600000US01096","ZCTA5 01096","12","19"
"8600000US01097","ZCTA5 01097","0","12"
"8600000US01098","ZCTA5 01098","0","12"
"8600000US01103","ZCTA5 01103","91","54"
"8600000US01104","ZCTA5 01104","451","224"
"8600000US01105","ZCTA5 01105","112","82"
"8600000US01106","ZCTA5 01106","1275","332"
"8600000US01107","ZCTA5 01107","73","60"
"8600000US01108","ZCTA5 01108","1566","560"
"8600000US01109","ZCTA5 01109","448","234"
"8600000US01118","ZCTA5 01118","782","301"
"8600000US01119","ZCTA5 01119","216","105"
"8600000US01128","ZCTA5 01128","86","72"
"8600000US01129","ZCTA5 01129","234","142"
"8600000US01151","ZCTA5 01151","116","110"
"8600000US01199","ZCTA5 01199","0","12"
"8600000US01201","ZCTA5 01201","997","271"
"8600000US01220","ZCTA5 01220","100","76"
"8600000US01222","ZCTA5 01222","0","12"
"8600000US01223","ZCTA5 01223","9","8"
"8600000US01224","ZCTA5 01224","0","12"
"8600000US01225","ZCTA5 01225","11","21"
"8600000US01226","ZCTA5 01226","124","109"
"8600000US01229","ZCTA5 01229","0","12"
"8600000US01230","ZCTA5 01230","153","90"
"8600000US01235","ZCTA5 01235","7","7"
"8600000US01236","ZCTA5 01236","0","12"
"8600000US01237","ZCTA5 01237","9","10"
"8600000US01238","ZCTA5 01238","207","123"
"8600000US01240","ZCTA5 01240","82","82"
"8600000US01242","ZCTA5 01242","0","12"
"8600000US01243","ZCTA5 01243","2","3"
"8600000US01244","ZCTA5 01244","0","12"
"8600000US01245","ZCTA5 01245","3","8"
"8600000US01247","ZCTA5 01247","159","110"
"8600000US01253","ZCTA5 01253","0","12"
"8600000US01254","ZCTA5 01254","33","30"
"8600000US01255","ZCTA5 01255","20","19"
"8600000US01256","ZCTA5 01256","0","12"
"8600000US01257","ZCTA5 01257","0","12"
"8600000US01258","ZCTA5 01258","2","3"
"8600000US01259","ZCTA5 01259","0","12"
"8600000US01260","ZCTA5 01260","0","12"
"8600000US01262","ZCTA5 01262","56","56"
"8600000US01264","ZCTA5 01264","0","12"
"8600000US01266","ZCTA5 01266","50","42"
"8600000US01267","ZCTA5 01267","723","233"
